UMAP1,UMAP2
10.176653,11.100233
10.054235,10.372396
12.102344,4.7277784
12.210853,2.6614602
-7.2025237,-0.2622398
12.422785,0.7839264
13.044344,4.939073
-0.435569,-3.8162577
9.76102,10.546385
2.5605114,-3.3068166
2.587819,-3.735324
12.792852,4.794554
0.4098798,-2.915669
12.937117,4.80563
7.5824947,8.000141
1.0049125,-2.3683414
5.2621655,6.0513744
0.900696,-5.955004
13.902048,3.0634718
-1.0398606,-5.9342356
1.6978428,-3.5389473
0.32661015,-4.4636035
0.053814527,-5.5209627
0.96914333,-2.3446112
12.269212,1.1618654
13.388344,6.1700006
5.4847836,5.8049517
-6.5113215,0.03373823
0.6576738,-5.360056
12.071297,3.0135198
-7.0588903,-0.09529024
2.7066112,-5.0135355
12.784715,1.5699497
1.7344316,-2.8043513
-6.3190513,0.7718953
9.219184,10.415472
-7.883322,0.3778887
0.8271446,-3.3135304
12.878371,6.495947
0.39314842,-2.2121208
10.383519,2.1422477
13.74769,3.5205886
12.506784,1.8917558
0.57781297,-6.0495687
12.246688,3.3203454
1.9693496,-5.004799
14.080195,3.5681496
-7.272652,-0.07208971
2.0985575,-3.8206627
13.18395,4.893429
-7.7931337,0.25079915
-7.5994024,-0.27366325
9.345685,10.425742
13.387793,2.7724555
9.833919,10.1972
0.12740083,-3.4659827
11.13438,5.995485
10.16419,2.427987
13.129362,2.5798569
12.082589,2.0501482
-0.30464467,-2.8367007
-6.8366003,0.20057783
5.291722,6.0454783
13.104292,6.0836315
9.676428,10.411208
12.75745,6.111276
13.512225,2.9489758
2.6252139,-3.407642
-6.280294,0.19324507
2.9071357,-3.8516817
